scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
sensor_dropout,0,0.0,0,5.185,4.646,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,3,0,123.18,uav_2,10.215,False,False,False,False,False
sensor_dropout,0,0.0,1,4.753,15.315,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,3,0,116.01,uav_3,10.417,False,False,False,False,False
sensor_dropout,0,0.0,2,15.391,5.085,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,3,0,110.436,uav_0,10.215,False,False,False,False,False
sensor_dropout,0,0.0,3,15.17,15.362,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,3,0,102.904,uav_2,10.279,False,False,False,False,False
sensor_dropout,1,0.2,0,5.396,4.306,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,3,0,123.265,uav_2,10.42,False,False,False,False,False
sensor_dropout,1,0.2,1,4.508,15.631,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,3,0,115.976,uav_3,10.829,False,False,False,False,False
sensor_dropout,1,0.2,2,15.779,5.182,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,3,0,110.114,uav_0,10.42,False,False,False,False,False
sensor_dropout,1,0.2,3,15.337,15.726,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,3,0,102.533,uav_2,10.552,False,False,False,False,False
sensor_dropout,2,0.4,0,5.766,4.153,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,123.105,uav_2,10.45,False,False,False,False,False
sensor_dropout,2,0.4,1,4.409,16.018,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.789,uav_3,11.119,False,False,False,False,False
sensor_dropout,2,0.4,2,16.149,5.334,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.761,uav_0,10.45,False,False,False,False,False
sensor_dropout,2,0.4,3,15.528,16.077,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,102.153,uav_2,10.761,False,False,False,False,False
sensor_dropout,3,0.6,0,6.142,4.017,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,122.931,uav_2,10.478,False,False,False,False,False
sensor_dropout,3,0.6,1,4.314,16.407,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.598,uav_3,11.406,False,False,False,False,False
sensor_dropout,3,0.6,2,16.516,5.494,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.405,uav_0,10.478,False,False,False,False,False
sensor_dropout,3,0.6,3,15.719,16.428,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,101.773,uav_2,10.963,False,False,False,False,False
sensor_dropout,4,0.8,0,6.523,3.896,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,122.744,uav_2,10.505,False,False,False,False,False
sensor_dropout,4,0.8,1,4.225,16.797,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.402,uav_3,11.687,False,False,False,False,False
sensor_dropout,4,0.8,2,16.879,5.661,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.045,uav_0,10.505,False,False,False,False,False
sensor_dropout,4,0.8,3,15.912,16.779,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,101.393,uav_2,11.16,False,False,False,False,False
sensor_dropout,5,1.0,0,6.909,3.788,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,122.545,uav_2,10.532,False,False,False,False,False
